time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
6/10/2015,89.5,73,89.4,73.5,0.004,0.004,10.6,24.8
6/11/2015,94.3,68.4,95.6,70,0,0,6.5,15.9
6/12/2015,100.6,73.6,104.1,75,0.004,0.004,6.5,14.5
6/13/2015,105.2,75,105.6,76.7,0,0,9.5,20.8
6/14/2015,101.7,72.3,98.9,70.5,0,0,8.7,19.2
6/15/2015,99.3,68.4,95.5,66.2,0,0,10.1,21
6/16/2015,98.8,65.5,95.4,62.3,0,0,8.5,18.1
6/17/2015,102.4,67.6,99.1,65.8,0,0,8.2,17.2
6/18/2015,102,69.1,98.7,66.6,0,0,11.3,23.5
6/19/2015,99.6,67.9,94.6,63.3,0,0,9.7,23
6/20/2015,102.9,67.3,99.1,64.3,0,0,7,19.5
6/21/2015,98.5,70.1,94.9,66.9,0,0,10.3,21.9
6/22/2015,96.8,66.1,91.6,61.7,0,0,9.2,22.1
6/23/2015,96.8,66.7,93.1,63.1,0,0,8.9,20.6
6/24/2015,99.7,68.8,97.8,66.3,0,0,6.8,19.7
6/25/2015,106,73,104.9,71.7,0,0,5.7,16.8
6/26/2015,108.6,78.4,108.6,76.2,0,0,7.2,19.2
6/27/2015,105.1,76.4,104,75.7,0,0,7.8,18.8
6/28/2015,99.5,77,99.7,75.6,0,0,7.8,20.1
6/29/2015,97.9,74,96.4,72.1,0,0,8.9,17.2
6/30/2015,107.8,76.5,106,75.5,0,0,8.3,18.3
7/1/2015,103.5,81.1,103,79.3,0,0,8.1,16.3
7/2/2015,100.7,80.3,101,80.8,0,0,7.7,18.6
7/3/2015,103.9,79.5,108.1,82.5,0,0,8.9,24.6
7/4/2015,103.4,77.7,106.9,78.5,0.024,0.024,8.5,20.6
7/5/2015,100.6,76.1,102.7,75,0,0,11.3,23.9
7/6/2015,95.8,71.7,94.8,70.9,0,0,11.8,25.1
7/7/2015,95.2,70.4,94.7,68.4,0,0,10.8,25.9
7/8/2015,92.3,68,92,67,0.008,0.008,11.2,22.1
7/9/2015,87.5,64.8,87.6,62.6,0.004,0.004,9.3,19
7/10/2015,85.1,66.9,85.8,65.7,0,0,9.6,19.2
7/11/2015,93.4,67.1,93.5,66.2,0,0,9.2,22.6
7/12/2015,95.5,70,96.1,69.3,0,0,10.3,23.7
7/13/2015,95.8,70.6,95,69,0,0,11.6,21.9
7/14/2015,96.1,69.1,94.1,67.8,0,0,10.6,22.6
7/15/2015,97.4,66.4,96.7,64.2,0,0,7.4,16.6
7/16/2015,100.5,72,100.4,70.8,0,0,5.9,15.4
7/17/2015,102.7,72.7,103.8,71.9,0,0,5.4,15.7
7/18/2015,101,73.2,99.7,73.7,0,0,14.1,24.2
7/19/2015,90.6,75.6,91,73.7,0,0,8.9,20.4
7/20/2015,98.6,77.1,103,79.2,0.012,0.012,5.6,13.6
7/21/2015,100.5,77.9,102.4,80.2,0,0,7.3,19
7/22/2015,97.7,74.8,96.6,72.4,0,0,11.5,25.7
7/23/2015,94.1,68.3,91.3,65.8,0,0,7.6,19.2
7/24/2015,96.8,68,94.5,65.4,0,0,11.5,22.6
