OutDatetime,InDatetime,Name,Voltage,DurationMin,OutageType,Cause,ResponsibleSystem,intprt,District,ID
01/13/2024 21:01,01/14/2024 01:19,Noti Creek: Emerald PUD 115kV Feeder 1,115.0,258,Auto,Weather,BPA,Unknown,EUG,225489
01/13/2024 21:01,01/15/2024 23:14,Walton: Blachly-Lane Co 12.5kV Feeder 1,12.5,3013,Auto,Weather,BPA,Unknown,EUG,225490
01/14/2024 00:26,01/17/2024 21:43,Latham: Emerald PUD 115kV Feeder 1,115.0,5597,Auto,Line Material Failure,BPA,Unknown,EUG,225491
01/14/2024 00:26,01/17/2024 23:10,Dorena: Lane Elec Coop 34.5kV Feeder 1 by PacifiCorp (PACW),34.5,5684,Auto,Line Material Failure,BPA,Unknown,EUG,225493
01/14/2024 00:26,01/17/2024 23:10,Dorena: Lane Elec Coop 34.5kV Feeder 2 by PacifiCorp (PACW),34.5,5684,Auto,Line Material Failure,BPA,Unknown,EUG,225494
01/14/2024 00:32,01/14/2024 14:09,Cascade Locks: Cascade Locks OR 115kV Feeder 1,115.0,817,Auto,Tree Blown,BPA,Unknown,LGV,225495
01/14/2024 00:32,01/14/2024 14:09,Cascade Locks: Cascade Locks OR 13.8kV Feeder 1,13.8,817,Auto,Tree Blown,BPA,Unknown,LGV,225496
01/14/2024 00:32,01/14/2024 14:09,Acton: Cascade Locks OR 13.8kV Feeder 1,13.8,817,Auto,Tree Blown,BPA,Unknown,LGV,225497
01/14/2024 01:38,01/17/2024 22:36,Marcola: Emerald PUD 230kV Feeder 1,230.0,5578,Auto,Unknown,BPA,Unknown,EUG,225499
01/14/2024 01:38,01/17/2024 22:36,Marcola: Emerald PUD 230kV Feeder 2,230.0,5578,Auto,Unknown,BPA,Unknown,EUG,225500
01/14/2024 01:38,01/14/2024 01:54,Wren: Consumers Power 69kV Feeder 1,69.0,16,Auto,Unknown,BPA,Unknown,EUG,225504
01/14/2024 01:38,01/14/2024 07:19,Toledo: Central Linc PUD 69kV Feeder 1,69.0,341,Auto,Forced (Configuration),BPA,Unknown,EUG,225508
01/14/2024 01:38,01/14/2024 02:13,Toledo: Central Linc PUD 69kV Feeder 2,69.0,35,Auto,Forced (Configuration),BPA,Unknown,EUG,225509
01/14/2024 01:38,01/14/2024 01:57,Toledo: Consumers Power 69kV Feeder 1,69.0,19,Auto,Forced (Configuration),BPA,Unknown,EUG,225510
